algorithm,features,n_features,train_time,mem_max,f1_weighted,accuracy,roc_auc_ovr_weighted,confusion_matrix
KNeighborsClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,21.300638700000036,1467.5625,0.5617113345471554,0.58125,0.7056264096929639,"[[ 0  0  1  1  0  0]
 [ 0  0  7  3  1  0]
 [ 0  0 98 35  3  0]
 [ 0  0 50 72  6  0]
 [ 0  0  5 19 16  0]
 [ 0  0  0  2  1  0]]"
GaussianNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,8.443384999999807,1462.9296875,0.5022288009792546,0.5,0.682130546687378,"[[ 1  0  0  1  0  0]
 [ 0  1  3  6  1  0]
 [ 1  7 74 43 11  0]
 [ 1  2 31 72 22  0]
 [ 0  0  4 24 12  0]
 [ 0  0  0  3  0  0]]"
MultinomialNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,8.638779600000134,1465.2421875,0.3995146982524075,0.475,0.645203344112776,"[[  0   0   1   1   0   0]
 [  0   0   9   2   0   0]
 [  0   0 117  19   0   0]
 [  0   0  93  35   0   0]
 [  0   0  14  26   0   0]
 [  0   0   1   2   0   0]]"
BernoulliNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,8.73018530000013,1465.0546875,0.25406593406593403,0.425,0.5052528288453654,"[[  0   0   2   0   0   0]
 [  0   0  11   0   0   0]
 [  0   0 136   0   0   0]
 [  0   0 127   0   0   1]
 [  0   0  40   0   0   0]
 [  0   0   3   0   0   0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,12.169079499999953,1481.36328125,0.625265985312982,0.628125,0.708753358262262,"[[ 0  0  1  1  0  0]
 [ 0  1  6  4  0  0]
 [ 0  4 97 31  1  3]
 [ 0  2 30 83 10  3]
 [ 0  0  8 11 20  1]
 [ 0  0  0  1  2  0]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,42.41627800000015,1502.37109375,0.5651957851466543,0.5875,0.7440933705039172,"[[  0   0   1   1   0   0]
 [  0   0   4   6   1   0]
 [  0   0 100  35   1   0]
 [  0   0  46  76   6   0]
 [  0   0   2  26  12   0]
 [  0   0   0   2   1   0]]"
SVC(probability=True),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,315.2089699999999,1519.140625,0.5905804365987433,0.6125,0.762558190545681,"[[  0   0   1   1   0   0]
 [  0   0   6   4   1   0]
 [  0   0 102  33   1   0]
 [  0   0  39  81   8   0]
 [  0   0   1  26  13   0]
 [  0   0   0   3   0   0]]"
GaussianNB(),"('sulphates', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,8.855955800000174,1509.140625,0.4996715433161216,0.5,0.6892370052792691,"[[ 1  0  0  1  0  0]
 [ 1  0  3  6  1  0]
 [ 1  7 74 44 10  0]
 [ 0  2 31 74 21  0]
 [ 0  0  5 24 11  0]
 [ 0  0  0  3  0  0]]"
DecisionTreeClassifier(),"('pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,13.064945200000238,1510.30859375,0.5992072983007544,0.6,0.6982410759359764,"[[  0   1   1   0   0   0]
 [  1   1   5   3   1   0]
 [  0   2 101  29   3   1]
 [  1   4  26  73  22   2]
 [  0   0   7  15  17   1]
 [  0   0   0   1   2   0]]"
SVC(probability=True),"('sulphates', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'fixed acidity')",8,265.72289279999995,1519.93359375,0.5600623343895776,0.58125,0.7499546175670754,"[[ 0  0  1  1  0  0]
 [ 0  0  5  5  1  0]
 [ 0  0 99 35  2  0]
 [ 0  0 44 75  9  0]
 [ 0  0  2 26 12  0]
 [ 0  0  0  1  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,12.923541199999818,1517.21875,0.5855485151987144,0.5875,0.6824824292039097,"[[ 0  0  1  1  0  0]
 [ 0  0  5  5  1  0]
 [ 0  4 91 35  5  1]
 [ 0  5 31 76 14  2]
 [ 0  0  5 13 21  1]
 [ 0  0  0  1  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,12.579310500000247,1514.86328125,0.586022454344945,0.5875,0.6814631069617747,"[[ 0  0  1  1  0  0]
 [ 0  2  4  5  0  0]
 [ 0  5 89 36  6  0]
 [ 0  3 27 78 19  1]
 [ 0  0 11 11 18  0]
 [ 0  0  1  0  1  1]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'fixed acidity')",8,42.89061300000003,1523.265625,0.5573576758765636,0.578125,0.7464040338251002,"[[ 0  0  0  2  0  0]
 [ 0  0  3  7  1  0]
 [ 0  0 95 39  2  0]
 [ 0  0 42 79  7  0]
 [ 0  0  2 27 11  0]
 [ 0  0  0  2  1  0]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity', 'fixed acidity')",8,45.42430730000024,1523.3359375,0.5511619395846907,0.571875,0.7256415049123944,"[[ 0  0  1  1  0  0]
 [ 0  0  5  5  1  0]
 [ 0  0 98 36  2  0]
 [ 0  0 49 72  7  0]
 [ 0  0  2 25 13  0]
 [ 0  0  0  2  1  0]]"
GaussianNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,8.458470000000034,1521.91015625,0.5076247052242837,0.50625,0.6801754204151973,"[[ 1  0  0  1  0  0]
 [ 0  1  3  7  0  0]
 [ 1  7 75 42 11  0]
 [ 0  0 35 69 24  0]
 [ 0  0  2 22 16  0]
 [ 0  0  0  3  0  0]]"
DecisionTreeClassifier(),"('sulphates', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",8,12.085051300000032,1521.57421875,0.5678832259922877,0.571875,0.6623238581773563,"[[ 0  0  1  1  0  0]
 [ 0  1  5  5  0  0]
 [ 0  3 88 41  3  1]
 [ 0  3 37 73 13  2]
 [ 0  0  7 11 21  1]
 [ 0  0  0  1  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,13.618692400000327,1521.390625,0.6063656107406107,0.6125,0.6977166609621626,"[[ 0  0  1  0  1  0]
 [ 0  0  7  3  1  0]
 [ 0  3 95 34  3  1]
 [ 0  2 31 80 12  3]
 [ 0  0  5 13 21  1]
 [ 0  0  0  1  2  0]]"
