algorithm,features,n_features,train_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
KNeighborsClassifier(n_jobs=-1),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,26.937638800000002,1438.73828125,0.26124387254901965,0.5422482746746737,0.5260519980741455,0.5625,0.727087760358676,"[[ 0  0  1  1  0  0]
 [ 0  0  7  4  0  0]
 [ 0  0 98 36  2  0]
 [ 0  0 43 70 15  0]
 [ 0  0  5 23 12  0]
 [ 0  0  1  0  2  0]]"
GaussianNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,12.163513699999996,1438.98046875,0.3584893048128342,0.49899013722636765,0.5151683446871035,0.49375,0.6695628762004182,"[[ 1  0  1  0  0  0]
 [ 0  2  4  4  1  0]
 [ 1  3 74 49  9  0]
 [ 0  1 29 64 34  0]
 [ 0  0  4 19 17  0]
 [ 0  0  0  2  1  0]]"
MultinomialNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,11.61764199999999,1440.70703125,0.2039675245098039,0.4326390242001481,0.4287796017969054,0.5125,0.6743246709624207,"[[  0   0   2   0   0   0]
 [  0   0  11   0   0   0]
 [  0   0 125  11   0   0]
 [  0   0  89  39   0   0]
 [  0   0  18  22   0   0]
 [  0   0   2   1   0   0]]"
BernoulliNB(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,11.51642339999998,1440.43359375,0.16796875,0.2608271010483899,0.5817610062893082,0.428125,0.5101436783661659,"[[  0   0   2   0   0   0]
 [  0   0  11   0   0   0]
 [  0   0 136   0   0   0]
 [  0   0 126   1   0   1]
 [  0   0  40   0   0   0]
 [  0   0   3   0   0   0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,16.36413330000002,1454.99609375,0.4589270461972668,0.6234411523620459,0.6235451460134325,0.628125,0.7043360020081149,"[[ 1  0  0  1  0  0]
 [ 1  1  4  5  0  0]
 [ 0  3 96 36  1  0]
 [ 2  2 30 83 10  1]
 [ 0  0  7 14 19  0]
 [ 0  0  0  1  1  1]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,66.49652019999999,1476.2265625,0.27210477941176475,0.554763360118508,0.5418256233493459,0.575,0.74285479822016,"[[ 0  0  2  0  0  0]
 [ 0  0  6  5  0  0]
 [ 0  0 99 36  1  0]
 [ 0  0 46 71 11  0]
 [ 0  0  3 23 14  0]
 [ 0  0  0  2  1  0]]"
SVC(probability=True),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,535.4241951,1486.96484375,0.31948668672014263,0.5974940295223627,0.5901068367591892,0.60625,0.7621685914555104,"[[ 0  0  2  0  0  0]
 [ 0  1  5  4  1  0]
 [ 0  3 93 38  2  0]
 [ 0  2 34 79 13  0]
 [ 0  0  4 15 21  0]
 [ 0  0  0  1  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,14.902954499999964,1473.31640625,0.2985767602495544,0.583952781840753,0.5821731735615323,0.590625,0.6743939890751572,"[[ 0  1  1  0  0  0]
 [ 0  1  7  2  1  0]
 [ 0  5 94 35  2  0]
 [ 0  6 36 78  8  0]
 [ 0  0  9 15 16  0]
 [ 0  0  1  1  1  0]]"
MLPClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'volatile acidity', 'fixed acidity')",8,67.13136429999997,1486.20703125,0.23806678921568628,0.5100720551378446,0.4936800587048248,0.534375,0.7328838633653364,"[[ 0  0  2  0  0  0]
 [ 0  0  7  4  0  0]
 [ 0  0 98 37  1  0]
 [ 0  0 49 65 14  0]
 [ 0  0  2 30  8  0]
 [ 0  0  0  2  1  0]]"
DecisionTreeClassifier(),"('sulphates', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'volatile acidity', 'fixed acidity')",6,15.735643400000072,1483.9140625,0.2726868872549019,0.55113567222378,0.5574509803921568,0.546875,0.6614405560762806,"[[ 0  1  1  0  0  0]
 [ 0  0  5  5  1  0]
 [ 2  6 88 33  7  0]
 [ 0  3 30 69 23  3]
 [ 0  1  7 13 18  1]
 [ 0  0  1  0  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",9,14.944819199999984,1484.046875,0.31213374554367196,0.5880972170212903,0.5896098825872074,0.5875,0.6828949605694474,"[[ 0  0  1  1  0  0]
 [ 0  1  6  4  0  0]
 [ 1  7 87 38  2  1]
 [ 0  4 30 79 15  0]
 [ 0  1  4 13 21  1]
 [ 0  0  0  0  3  0]]"
SVC(probability=True),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",9,859.2632583999999,1484.94140625,0.33407141265597146,0.6071065864140185,0.6007348046534777,0.615625,0.7606088400255134,"[[ 0  0  2  0  0  0]
 [ 0  2  6  3  0  0]
 [ 0  2 97 36  1  0]
 [ 0  2 33 78 15  0]
 [ 0  0  2 18 20  0]
 [ 0  0  1  0  2  0]]"
KNeighborsClassifier(n_jobs=-1),"('sulphates', 'density', 'free sulfur dioxide', 'chlorides', 'citric acid', 'volatile acidity', 'fixed acidity')",7,24.511549699999932,1473.140625,0.2650735294117647,0.5489514652915821,0.5396687462863934,0.571875,0.7087737956112131,"[[ 0  0  1  1  0  0]
 [ 0  0  7  4  0  0]
 [ 0  0 99 37  0  0]
 [ 0  0 46 72 10  0]
 [ 0  0  9 19 12  0]
 [ 0  0  0  3  0  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity')",8,17.865800600000057,1476.6484375,0.4897509098336304,0.6214224084190959,0.6245237648221343,0.621875,0.7068989487605136,"[[ 1  0  0  0  1  0]
 [ 0  3  3  5  0  0]
 [ 1  6 96 30  3  0]
 [ 0  1 32 77 18  0]
 [ 0  0  7 12 21  0]
 [ 0  0  0  1  1  1]]"
DecisionTreeClassifier(),"('pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity')",7,18.104997899999944,1474.7734375,0.30766070632798576,0.5849100195648939,0.5880730202386297,0.584375,0.6855902877291781,"[[ 0  0  1  1  0  0]
 [ 2  1  2  6  0  0]
 [ 0  4 91 31  9  1]
 [ 0  1 30 75 20  2]
 [ 0  0  7 12 20  1]
 [ 0  0  0  1  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'volatile acidity')",6,17.657081300000073,1475.88671875,0.34137050653594775,0.5718294817927172,0.5696374245832907,0.575,0.6731638492622555,"[[ 0  0  2  0  0  0]
 [ 0  0  6  4  1  0]
 [ 0  5 90 35  5  1]
 [ 0  1 32 74 17  4]
 [ 0  0  6 14 19  1]
 [ 0  0  0  0  2  1]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'residual sugar', 'volatile acidity')",6,18.665522999999894,1476.5078125,0.4128244763814617,0.6175101902782792,0.613978943184354,0.621875,0.705284857853815,"[[ 1  0  0  1  0  0]
 [ 0  2  3  4  2  0]
 [ 1  3 99 29  4  0]
 [ 0  3 34 79 12  0]
 [ 0  0  7 13 18  2]
 [ 0  0  0  1  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'residual sugar', 'fixed acidity')",7,17.673079499999858,1475.53125,0.33088513814616755,0.5960519211864603,0.5922327898550724,0.6,0.6883930455888561,"[[ 0  0  2  0  0  0]
 [ 0  2  6  3  0  0]
 [ 0  5 91 33  7  0]
 [ 0  4 34 78 12  0]
 [ 0  1  5 13 21  0]
 [ 0  0  0  1  2  0]]"
DecisionTreeClassifier(),"('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar')",7,18.190673600000082,1478.00390625,0.37162479575163404,0.6408063811188811,0.6367820116235471,0.65,0.7230093192827997,"[[  0   0   1   0   1   0]
 [  0   0   6   5   0   0]
 [  0   4 103  25   4   0]
 [  0   2  32  85   9   0]
 [  0   1   8  12  19   0]
 [  0   0   0   0   2   1]]"
