algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'euclidean', 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004387199999882796,0.00042320187500024533,1422.71875,0.4031876671122994,0.5901511281091121,0.590316319573118,0.596875,0.7145439621673744,"[[ 1  0  0  1  0  0]
 [ 0  1  6  4  0  0]
 [ 4  4 95 30  3  0]
 [ 0  1 50 71  6  0]
 [ 0  0  6 11 23  0]
 [ 0  0  1  1  1  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'euclidean', 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004816900000150781,0.0003997531250000463,1422.44140625,0.2837636475044563,0.5498122393884239,0.5461028069482083,0.5625,0.7088833607295263,"[[ 0  1  0  1  0  0]
 [ 0  1  7  3  0  0]
 [ 0  5 97 32  2  0]
 [ 0  0 52 67  9  0]
 [ 0  1  5 19 15  0]
 [ 0  0  1  1  1  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'euclidean', 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004333399999950416,0.0004302862499997673,1423.43359375,0.27959698083778967,0.5436960700838485,0.5389074955040342,0.559375,0.7209657646262234,"[[ 0  0  1  1  0  0]
 [ 0  1  6  4  0  0]
 [ 0  2 97 34  3  0]
 [ 0  0 51 67 10  0]
 [ 0  1  7 18 14  0]
 [ 0  0  0  3  0  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'manhattan', 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.0045016000001396606,0.00047290374999988674,1423.3984375,0.3054854612299465,0.583080240797454,0.5929234125315391,0.5875,0.7239222586184654,"[[ 0  0  1  1  0  0]
 [ 0  1  6  4  0  0]
 [ 4  8 99 25  0  0]
 [ 1  1 51 69  6  0]
 [ 0  0  7 14 19  0]
 [ 0  0  0  3  0  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'manhattan', 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004323999999996886,0.0004609481250000158,1423.50390625,0.2961564171122995,0.5640183956000472,0.565810785346325,0.578125,0.728619685189506,"[[ 0  0  1  1  0  0]
 [ 0  1  7  3  0  0]
 [ 0  0 95 38  3  0]
 [ 0  0 48 72  8  0]
 [ 0  1  6 16 17  0]
 [ 0  0  0  2  1  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'manhattan', 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004713700000138488,0.00046352906249964577,1423.04296875,0.27340825534759355,0.5387364280456387,0.5386710903343968,0.559375,0.7344755251882584,"[[  0   0   1   1   0   0]
 [  0   1   6   4   0   0]
 [  0   1 103  30   2   0]
 [  0   0  54  63  11   0]
 [  0   0   4  24  12   0]
 [  0   0   0   2   1   0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'minkowski', 'n_neighbors': 3}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.00442879999991419,0.00041359843749972925,1423.32421875,0.4031876671122994,0.5901511281091121,0.590316319573118,0.596875,0.7145439621673744,"[[ 1  0  0  1  0  0]
 [ 0  1  6  4  0  0]
 [ 4  4 95 30  3  0]
 [ 0  1 50 71  6  0]
 [ 0  0  6 11 23  0]
 [ 0  0  1  1  1  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'minkowski', 'n_neighbors': 11}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.005570100000113598,0.0006217624999997895,1423.2421875,0.2837636475044563,0.5498122393884239,0.5461028069482083,0.5625,0.7088833607295263,"[[ 0  1  0  1  0  0]
 [ 0  1  7  3  0  0]
 [ 0  5 97 32  2  0]
 [ 0  0 52 67  9  0]
 [ 0  1  5 19 15  0]
 [ 0  0  1  1  1  0]]"
"KNeighborsClassifier(n_jobs=-1, n_neighbors=17)","{'metric': 'minkowski', 'n_neighbors': 17}","('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.004772499999944557,0.0004885662500001331,1423.55859375,0.27959698083778967,0.5436960700838485,0.5389074955040342,0.559375,0.7209657646262234,"[[ 0  0  1  1  0  0]
 [ 0  1  6  4  0  0]
 [ 0  2 97 34  3  0]
 [ 0  0 51 67 10  0]
 [ 0  1  7 18 14  0]
 [ 0  0  0  3  0  0]]"
GaussianNB(),{'priors': None},"('fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'chlorides', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol')",11,0.003681200000073659,7.658093749967066e-05,1423.9453125,0.31742006461675576,0.5813142445409887,0.5822877396326301,0.58125,0.7464576295439783,"[[ 0  1  1  0  0  0]
 [ 0  2  6  3  0  0]
 [ 3  2 90 37  4  0]
 [ 0  2 37 75 13  1]
 [ 0  0  3 14 19  4]
 [ 0  0  0  1  2  0]]"
