algorithm,params,features,n_features,train_time,predict_time,mem_max,balanced_accuracy,f1_weighted,precision_weighted,recall_weighted,roc_auc_ovr_weighted,confusion_matrix
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 100.0), ('class_weight', 'balanced'), ('gamma', 'scale'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.5562949000000117,0.0005336012500009701,1458.2421875,0.46746091428995845,0.596307014492058,0.6146621169469889,0.5875,0.7606836450527482,"[[ 1  0  0  1  0  0]
 [ 0  2  8  1  0  0]
 [ 3 11 94 22  5  1]
 [ 0  4 37 67 15  5]
 [ 0  0  4 10 23  3]
 [ 0  0  1  0  1  1]]"
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 1000.0), ('class_weight', None), ('gamma', 'scale'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,2.156488299999637,0.0004301812499988955,1457.87109375,0.45370200163398694,0.617882124992398,0.6193517080745342,0.621875,0.7572803111754033,"[[ 1  0  0  1  0  0]
 [ 0  0  9  2  0  0]
 [ 4  5 99 26  1  1]
 [ 0  1 40 75 10  2]
 [ 0  0  5 11 23  1]
 [ 0  0  1  0  1  1]]"
<class 'sklearn.svm._classes.SVC'>,"OrderedDict([('C', 10.0), ('class_weight', 'balanced'), ('gamma', 'scale'), ('probability', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.42768130000013116,0.0005084775000000263,1458.734375,0.4275419637551991,0.5190991639424245,0.5699559558018611,0.490625,0.7586444564126401,"[[ 1  1  0  0  0  0]
 [ 0  3  7  1  0  0]
 [ 5 18 82 22  7  2]
 [ 2  9 35 52 18 12]
 [ 1  2  2 12 18  5]
 [ 0  0  0  0  2  1]]"
<class 'sklearn.ensemble._voting.VotingClassifier'>,"OrderedDict([('n_jobs', -1), ('voting', 'soft')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,5.323775900000328,0.0031698743749998927,1986.12890625,0.4016646241830066,0.6852342024931538,0.6779875077530121,0.703125,0.8355417268701872,"[[  0   0   2   0   0   0]
 [  0   0   9   2   0   0]
 [  0   0 112  24   0   0]
 [  0   0  31  90   7   0]
 [  0   0   2  16  22   0]
 [  0   0   0   2   0   1]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', True)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,5.978634300000067,0.00042672812499944257,1858.30859375,0.39939746732026143,0.6743747629882442,0.6637589570063694,0.690625,0.8320489656665109,"[[  0   0   2   0   0   0]
 [  0   0   9   2   0   0]
 [  1   0 111  24   0   0]
 [  0   0  32  86   9   1]
 [  0   0   3  14  23   0]
 [  0   0   0   2   0   1]]"
<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingClassifier'>,"OrderedDict([('warm_start', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,4.727308200000152,0.0004075237500003936,1858.203125,0.39939746732026143,0.6743747629882442,0.6637589570063694,0.690625,0.8320489656665109,"[[  0   0   2   0   0   0]
 [  0   0   9   2   0   0]
 [  1   0 111  24   0   0]
 [  0   0  32  86   9   1]
 [  0   0   3  14  23   0]
 [  0   0   0   2   0   1]]"
<class 'sklearn.ensemble._forest.RandomForestClassifier'>,"OrderedDict([('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 500), ('n_jobs', -1)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.7741793000000143,0.0016370853124996643,1648.81640625,0.37887050653594767,0.6562786822202282,0.653736356728378,0.675,0.8451798231626964,"[[  0   0   2   0   0   0]
 [  0   0   9   2   0   0]
 [  0   0 107  28   1   0]
 [  0   0  33  90   5   0]
 [  0   0   2  20  18   0]
 [  0   0   1   1   0   1]]"
<class 'sklearn.tree._classes.DecisionTreeClassifier'>,"OrderedDict([('criterion', 'gini')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.007937800000036077,3.349749999870255e-05,1519.37109375,0.3712724673202614,0.6337315986255101,0.6303513301064607,0.640625,0.7158878128906623,"[[ 0  0  1  1  0  0]
 [ 1  0  5  5  0  0]
 [ 0  5 94 31  6  0]
 [ 1  0 30 90  6  1]
 [ 0  0  3 15 20  2]
 [ 0  0  1  1  0  1]]"
<class 'sklearn.ensemble._gb.GradientBoostingClassifier'>,"OrderedDict([('loss', 'deviance')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,1.2450897000003351,6.766750000082311e-05,1834.74609375,0.35383986928104577,0.6141864374241062,0.6069513428991906,0.628125,0.772700174216351,"[[  0   0   2   0   0   0]
 [  0   0   8   3   0   0]
 [  1   0 104  30   1   0]
 [  0   2  36  80   9   1]
 [  1   0   1  21  16   1]
 [  0   0   0   1   1   1]]"
<class 'sklearn.tree._classes.DecisionTreeClassifier'>,"OrderedDict([('criterion', 'entropy')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.011969399999998132,3.0440624999528155e-05,1519.61328125,0.3347222222222222,0.5761984947293644,0.5861021850515385,0.571875,0.6692836062355176,"[[ 0  0  1  1  0  0]
 [ 0  0  7  4  0  0]
 [ 1  6 85 39  4  1]
 [ 0 11 28 80  8  1]
 [ 0  0  5 17 17  1]
 [ 0  0  0  2  0  1]]"
<class 'sklearn.ensemble._stacking.StackingClassifier'>,"OrderedDict([('n_jobs', -1), ('stack_method', 'auto')])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,22.451028899999983,0.0028768878124992626,2162.83984375,0.329672181372549,0.6658148807655077,0.6618369846627776,0.6875,0.8453221434288876,"[[  0   0   1   1   0   0]
 [  0   0   8   3   0   0]
 [  0   0 109  27   0   0]
 [  0   0  32  93   3   0]
 [  0   0   2  20  18   0]
 [  0   0   0   2   1   0]]"
<class 'xgboost.sklearn.XGBClassifier'>,"OrderedDict([('alpha', 0.5), ('colsample_bytree', 0.7), ('eta', 0.015), ('eval_metric', 'mlogloss'), ('gamma', 0.7), ('lambda', 0.1), ('max_depth', 9), ('min_child_weight', 3), ('subsample', 0.8), ('use_label_encoder', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.6370517000000291,0.00012296124999977565,1832.234375,0.3256893382352941,0.6561896212430997,0.6477152014652015,0.678125,0.8071665614742718,"[[  0   0   1   1   0   0]
 [  0   0   9   2   0   0]
 [  0   0 110  25   1   0]
 [  0   0  34  89   5   0]
 [  0   0   2  20  18   0]
 [  0   0   0   3   0   0]]"
<class 'xgboost.sklearn.XGBClassifier'>,"OrderedDict([('alpha', 0.5), ('colsample_bytree', 0.9), ('eta', 0.05), ('eval_metric', 'mlogloss'), ('gamma', 0.7), ('lambda', 0.1), ('max_depth', 7), ('min_child_weight', 5), ('subsample', 0.9), ('use_label_encoder', False)])","('sulphates', 'pH', 'density', 'total sulfur dioxide', 'free sulfur dioxide', 'chlorides', 'residual sugar', 'citric acid', 'volatile acidity', 'fixed acidity')",10,0.5371656000002076,0.0001210265624990825,1826.765625,0.3220128676470588,0.6479535170711641,0.6369273504273505,0.66875,0.8030412058543808,"[[  0   0   1   1   0   0]
 [  0   0   9   2   0   0]
 [  0   0 107  28   1   0]
 [  0   0  32  89   7   0]
 [  0   0   1  21  18   0]
 [  0   0   0   3   0   0]]"
